,conf,conv,interest,length,rule,rule_no,supp,is_sky
25,0.7360148898769517,1.0839882650691604,3.64060129434023,2,[u'#recipes']==>[u'#food'],26,0.027711593864361908,yes
50,1.0,0.9800513898621818,50.1288056206089,3,"[u'#sunbeltbakery']==>[u'#bananabread', u'#contest']",51,0.019948610137818262,yes
52,1.0,0.9800513898621818,50.1288056206089,3,"[u'#bananabread', u'#contest']==>[u'#sunbeltbakery']",53,0.019948610137818262,yes
64,1.0,0.9800513898621818,50.1288056206089,3,"[u'#sunbeltbakery']==>[u'#contest', u'#granola']",65,0.019948610137818262,yes
68,1.0,0.9800513898621818,50.1288056206089,3,"[u'#contest', u'#granola']==>[u'#sunbeltbakery']",69,0.019948610137818262,yes
81,1.0,0.9800513898621818,50.1288056206089,3,"[u'#sunbeltbakery']==>[u'#bakeryfreshfriends', u'#granola']",82,0.019948610137818262,yes
83,1.0,0.9800513898621818,50.1288056206089,3,"[u'#bakeryfreshfriends', u'#granola']==>[u'#sunbeltbakery']",84,0.019948610137818262,yes
105,1.0,0.9800513898621818,50.1288056206089,3,"[u'#sunbeltbakery']==>[u'#bakeryfreshfriends', u'#bananabread']",106,0.019948610137818262,yes
107,1.0,0.9800513898621818,50.1288056206089,3,"[u'#bakeryfreshfriends', u'#bananabread']==>[u'#sunbeltbakery']",108,0.019948610137818262,yes
121,1.0,0.9800513898621818,50.1288056206089,3,"[u'#sunbeltbakery']==>[u'#bakeryfreshfriends', u'#contest']",122,0.019948610137818262,yes
125,1.0,0.9800513898621818,50.1288056206089,3,"[u'#bakeryfreshfriends', u'#contest']==>[u'#sunbeltbakery']",126,0.019948610137818262,yes
132,1.0,0.9800513898621818,50.1288056206089,3,"[u'#sunbeltbakery']==>[u'#bakeryfreshfriends', u'#recipe']",133,0.019948610137818262,yes
133,1.0,0.9800513898621818,50.1288056206089,3,"[u'#bakeryfreshfriends', u'#recipe']==>[u'#sunbeltbakery']",134,0.019948610137818262,yes
152,1.0,0.9800513898621818,50.1288056206089,4,"[u'#sunbeltbakery']==>[u'#bananabread', u'#contest', u'#granola']",153,0.019948610137818262,yes
153,1.0,0.9800513898621818,50.1288056206089,4,"[u'#contest', u'#granola']==>[u'#bananabread', u'#sunbeltbakery']",154,0.019948610137818262,yes
155,1.0,0.9800513898621818,50.1288056206089,4,"[u'#granola', u'#sunbeltbakery']==>[u'#bananabread', u'#contest']",156,0.019948610137818262,yes
156,1.0,0.9800513898621818,50.1288056206089,4,"[u'#bananabread', u'#contest']==>[u'#granola', u'#sunbeltbakery']",157,0.019948610137818262,yes
157,1.0,0.9800513898621818,50.1288056206089,4,"[u'#bananabread', u'#sunbeltbakery']==>[u'#contest', u'#granola']",158,0.019948610137818262,yes
162,1.0,0.9800513898621818,50.1288056206089,4,"[u'#bananabread', u'#contest', u'#granola']==>[u'#sunbeltbakery']",163,0.019948610137818262,yes
178,1.0,0.9800513898621818,50.1288056206089,4,"[u'#sunbeltbakery']==>[u'#bananabread', u'#contest', u'#recipe']",179,0.019948610137818262,yes
181,1.0,0.9800513898621818,50.1288056206089,4,"[u'#recipe', u'#sunbeltbakery']==>[u'#bananabread', u'#contest']",182,0.019948610137818262,yes
182,1.0,0.9800513898621818,50.1288056206089,4,"[u'#bananabread', u'#contest']==>[u'#recipe', u'#sunbeltbakery']",183,0.019948610137818262,yes
185,1.0,0.9800513898621818,50.1288056206089,4,"[u'#bananabread', u'#contest', u'#recipe']==>[u'#sunbeltbakery']",186,0.019948610137818262,yes
189,1.0,0.9800513898621818,50.1288056206089,4,"[u'#sunbeltbakery']==>[u'#contest', u'#granola', u'#recipe']",190,0.019948610137818262,yes
193,1.0,0.9800513898621818,50.1288056206089,4,"[u'#contest', u'#granola']==>[u'#recipe', u'#sunbeltbakery']",194,0.019948610137818262,yes
195,1.0,0.9800513898621818,50.1288056206089,4,"[u'#recipe', u'#sunbeltbakery']==>[u'#contest', u'#granola']",196,0.019948610137818262,yes
201,1.0,0.9800513898621818,50.1288056206089,4,"[u'#contest', u'#granola', u'#recipe']==>[u'#sunbeltbakery']",202,0.019948610137818262,yes
203,1.0,0.9800513898621818,50.1288056206089,4,"[u'#sunbeltbakery']==>[u'#bakeryfreshfriends', u'#granola', u'#recipe']",204,0.019948610137818262,yes
206,1.0,0.9800513898621818,50.1288056206089,4,"[u'#bakeryfreshfriends', u'#recipe']==>[u'#granola', u'#sunbeltbakery']",207,0.019948610137818262,yes
207,1.0,0.9800513898621818,50.1288056206089,4,"[u'#bakeryfreshfriends', u'#granola']==>[u'#recipe', u'#sunbeltbakery']",208,0.019948610137818262,yes
208,1.0,0.9800513898621818,50.1288056206089,4,"[u'#recipe', u'#sunbeltbakery']==>[u'#bakeryfreshfriends', u'#granola']",209,0.019948610137818262,yes
209,1.0,0.9800513898621818,50.1288056206089,4,"[u'#granola', u'#sunbeltbakery']==>[u'#bakeryfreshfriends', u'#recipe']",210,0.019948610137818262,yes
212,1.0,0.9800513898621818,50.1288056206089,4,"[u'#bakeryfreshfriends', u'#granola', u'#recipe']==>[u'#sunbeltbakery']",213,0.019948610137818262,yes
218,1.0,0.9800513898621818,50.1288056206089,4,"[u'#sunbeltbakery']==>[u'#bakeryfreshfriends', u'#bananabread', u'#granola']",219,0.019948610137818262,yes
220,1.0,0.9800513898621818,50.1288056206089,4,"[u'#bakeryfreshfriends', u'#granola']==>[u'#bananabread', u'#sunbeltbakery']",221,0.019948610137818262,yes
221,1.0,0.9800513898621818,50.1288056206089,4,"[u'#bakeryfreshfriends', u'#bananabread']==>[u'#granola', u'#sunbeltbakery']",222,0.019948610137818262,yes
222,1.0,0.9800513898621818,50.1288056206089,4,"[u'#granola', u'#sunbeltbakery']==>[u'#bakeryfreshfriends', u'#bananabread']",223,0.019948610137818262,yes
224,1.0,0.9800513898621818,50.1288056206089,4,"[u'#bananabread', u'#sunbeltbakery']==>[u'#bakeryfreshfriends', u'#granola']",225,0.019948610137818262,yes
228,1.0,0.9800513898621818,50.1288056206089,4,"[u'#bakeryfreshfriends', u'#bananabread', u'#granola']==>[u'#sunbeltbakery']",229,0.019948610137818262,yes
246,1.0,0.9800513898621818,50.1288056206089,4,"[u'#contest', u'#granola']==>[u'#bakeryfreshfriends', u'#bananabread']",247,0.019948610137818262,yes
248,1.0,0.9800513898621818,50.1288056206089,4,"[u'#bakeryfreshfriends', u'#granola']==>[u'#bananabread', u'#contest']",249,0.019948610137818262,yes
249,1.0,0.9800513898621818,50.1288056206089,4,"[u'#bakeryfreshfriends', u'#bananabread']==>[u'#contest', u'#granola']",250,0.019948610137818262,yes
250,1.0,0.9800513898621818,50.1288056206089,4,"[u'#bananabread', u'#contest']==>[u'#bakeryfreshfriends', u'#granola']",251,0.019948610137818262,yes
259,1.0,0.9800513898621818,50.1288056206089,4,"[u'#sunbeltbakery']==>[u'#bakeryfreshfriends', u'#bananabread', u'#contest']",260,0.019948610137818262,yes
260,1.0,0.9800513898621818,50.1288056206089,4,"[u'#bakeryfreshfriends', u'#sunbeltbakery']==>[u'#bananabread', u'#contest']",261,0.019948610137818262,yes
261,1.0,0.9800513898621818,50.1288056206089,4,"[u'#bakeryfreshfriends', u'#contest']==>[u'#bananabread', u'#sunbeltbakery']",262,0.019948610137818262,yes
262,1.0,0.9800513898621818,50.1288056206089,4,"[u'#bakeryfreshfriends', u'#bananabread']==>[u'#contest', u'#sunbeltbakery']",263,0.019948610137818262,yes
263,1.0,0.9800513898621818,50.1288056206089,4,"[u'#bananabread', u'#contest']==>[u'#bakeryfreshfriends', u'#sunbeltbakery']",264,0.019948610137818262,yes
264,1.0,0.9800513898621818,50.1288056206089,4,"[u'#bananabread', u'#sunbeltbakery']==>[u'#bakeryfreshfriends', u'#contest']",265,0.019948610137818262,yes
265,1.0,0.9800513898621818,50.1288056206089,4,"[u'#contest', u'#sunbeltbakery']==>[u'#bakeryfreshfriends', u'#bananabread']",266,0.019948610137818262,yes
267,1.0,0.9800513898621818,50.1288056206089,4,"[u'#bakeryfreshfriends', u'#bananabread', u'#contest']==>[u'#sunbeltbakery']",268,0.019948610137818262,yes
